z,ra,dec,r,grModelColor
0.1154227,229.6101267,0.20125578,16.37971,1.08263588
0.1106239,230.8145761,0.03882072,17.20927,0.72941399
0.1019912,236.363179,0.21510088,17.10906,0.99356461
0.1139601,237.0927012,0.05084706,16.59654,1.06422806
0.1132718,247.6414306,0.0614832,17.47654,1.04410934
0.10961,221.3075521,0.49835979,17.59324,0.83799744
0.1136043,57.9781604,-5.67790375,17.61065,0.82939911
0.1172739,186.2262072,-3.03215879,17.0457,0.78077888
0.1149447,197.7850478,-1.44994756,17.49307,1.04172707
0.1121422,197.8203231,-1.52976982,17.00318,0.96168327
0.1154193,157.9684503,62.62466895,16.37732,1.07949448
0.1023375,189.9577594,66.01682165,16.93435,0.96042252
0.1115215,132.3321314,53.29167705,15.94887,0.83458519
0.1144351,178.2889747,67.80288517,16.42777,1.06118202
0.1029925,196.6724067,67.62183018,16.02899,0.99255943
0.1035741,128.4430989,54.33361269,16.67214,0.74465179
0.1172177,116.258183,43.35147471,17.48706,1.04099655
0.1125386,116.3005626,43.357525,16.79012,0.86708069
0.1192981,127.8523567,50.86607459,18.21953,0.48866272
0.1002428,132.829531,55.02793952,16.96617,0.56624603
0.1183634,180.3199305,66.90530855,17.83503,0.70570183
0.118953,24.48049652,13.80280771,17.19212,0.86330795
0.1087693,182.770606,-2.99641529,16.27346,0.78186798
0.1136518,186.0220261,-2.99950548,17.0281,0.71219063
0.1056061,134.2383279,54.42626937,17.31877,0.87787628
0.1020999,137.2667792,56.57317808,16.35109,0.90437889
0.1191385,259.2515682,59.62738736,16.62986,1.07903862
0.1179502,131.1924888,50.37274154,16.87664,1.08735466
0.1122191,261.893301,59.78550971,17.60588,0.95399666
0.1172596,123.6592359,51.23030837,17.76479,0.63418961
0.109279,189.3629516,66.93793392,17.26893,0.82620049
0.1058927,240.4161073,53.78418122,17.13967,0.97806549
0.1196228,242.2590927,53.00530215,17.39444,0.83389091
0.1120085,165.3857833,66.95976123,17.75135,0.54965401
0.1027554,135.43997,59.04536927,17.55891,0.90545845
0.1193384,244.9220892,49.46082627,17.10888,0.68610001
0.105693,161.2270814,1.85275362,17.08185,1.13119507
0.1181148,232.9298293,1.2095284,17.15644,0.93295097
0.1056915,160.3056946,2.62251931,16.78108,1.00553513
0.1174841,216.2191942,0.95935681,17.12057,0.76799965
0.1167829,184.6185631,0.08057627,16.4987,0.97238922
0.1080581,200.9535587,1.04227417,16.35109,1.02111053
0.1157848,243.8162021,1.01265554,17.44839,0.78100777
0.1166125,160.9246735,0.75566489,17.14349,1.04515266
0.1038833,164.0543286,0.78118151,16.79319,0.76577377
0.1027633,164.7494263,0.81836979,16.58745,0.89874458
0.1181439,166.1111698,0.66097278,17.04192,0.91511536
0.1099988,168.1101492,0.63206694,17.64493,0.65505028
0.1039927,195.7647032,-3.3780836,16.96031,0.99796486
0.1104955,182.0779445,64.02688833,15.64299,1.00511646
0.1155732,158.0110225,62.65898258,17.24162,0.96765518
0.1119323,132.334887,51.23648499,16.13195,1.03171921
0.1154223,130.7863427,51.67850726,16.77382,1.01704979
0.1193309,261.4947287,54.90967237,17.36631,0.99695396
0.111656,132.2606893,51.17959647,17.70485,0.53962326
0.1153495,132.4223173,51.73509798,17.40767,0.47537994
0.1165818,242.3989354,0.66511857,17.48648,0.89428139
0.1144655,208.9501519,-1.10685814,17.83238,0.91077232
0.1162462,225.6411722,-1.21928347,17.29289,0.96487617
0.1181524,249.1675003,-0.38434162,17.88641,1.11137962
0.1007704,178.512775,-2.63924514,17.34529,0.94629288
0.1165711,155.8012005,61.21628574,16.30219,0.92380714
0.1157607,163.855491,64.72865885,16.42148,1.0259304
0.1148084,131.5062763,50.80429813,17.37972,0.84578323
0.1164014,116.9881999,38.05626928,16.45721,1.07374382
0.1193522,136.2440424,54.94872936,17.55288,0.74275017
0.1001693,133.7408286,54.55282367,17.2843,0.65281296
0.1008279,136.8610188,56.20847509,16.58401,1.00440979
0.1139349,256.2462306,58.91685449,17.43326,1.03431892
0.1135462,256.448374,58.52418778,17.33496,1.11030197
0.1145244,220.0002802,0.42210458,17.46944,1.10841942
0.1049216,169.9782818,0.78226027,17.64714,0.66339302
0.10797,180.3560584,-3.53341459,17.68062,0.59285545
0.1097574,180.792848,-3.53207701,16.73845,0.9699707
0.1097033,182.7625432,-2.94672965,17.71395,0.66409111
0.1123089,186.579342,-2.9316227,16.28465,0.81106186
0.1137874,185.6390258,-2.02551194,16.05401,0.86253166
0.1096144,136.8506041,55.30565093,17.30606,1.03403282
0.103105,137.3604384,56.62674231,16.70728,0.7382431
0.1123707,259.7051778,58.89636347,17.31683,1.02642632
0.1071371,258.910313,60.4771828,17.18882,0.6351223
0.1128755,260.3150507,58.070984,16.65286,0.88358688
0.1140156,236.9318833,-0.36824455,17.52422,1.09171867
0.1121572,241.8207881,-0.4108386,17.58724,0.91098404
0.1186954,184.38203,0.59929752,17.64676,0.97681236
0.1078463,185.0444131,0.46893872,17.64458,0.94992447
0.1049813,187.8939529,0.60421778,17.00296,0.86941719
0.1157225,185.8465212,-3.02595151,17.2584,1.00886345
0.1050548,195.6362985,-2.58752617,17.52469,0.69286156
0.1068542,137.5688576,55.44037698,17.64177,0.77468681
0.114133,131.4896988,53.39592019,17.81475,0.85577202
0.1184656,141.7929745,56.21586709,17.35821,0.83078384
0.104659,223.8669461,57.96175325,17.74284,0.30807495
0.1050974,240.1852297,53.21552526,17.49051,1.01435852
0.1042049,196.0870318,67.49433318,16.77014,0.954813
0.1076334,196.2724504,67.42026102,17.22428,0.96009827
0.1184201,244.858745,49.76828268,17.72484,0.97951889
0.1108802,250.0581784,46.69706751,17.62633,0.81023407
0.1138376,205.9232676,62.82963157,16.40258,1.01608658
0.1175706,116.9360257,38.6081453,16.29942,0.99682617
0.1176952,143.8976284,59.73205154,17.39382,1.00362015
0.1035598,149.5008031,62.21713526,16.98068,0.92776871
0.1127604,131.7063958,54.72614162,16.63374,1.02697182
0.1057904,242.3853196,0.26344984,17.41976,0.92835999
0.1107501,183.2695637,-3.03994089,16.64889,1.02444458
0.1087829,184.1516194,-3.12181228,17.35272,0.9103241
0.1138044,185.9370303,-1.92368107,17.542,0.95427132
0.1114713,182.4343732,-1.47213354,17.1032,1.04198074
0.1140762,197.9581982,-1.40507295,17.18894,0.95095253
0.1110741,186.7525198,64.04876021,17.16413,0.94704819
