z,ra,dec,r,grModelColor
0.4853317,167.723363,-2.89703257,20.32382,1.27239609
0.4770414,168.5276649,-2.43820305,20.24015,1.88107872
0.4490419,169.3394602,-2.50005168,20.62523,1.84555435
0.4801478,158.6278314,-1.99165857,20.75842,1.44250298
0.496388,164.0489724,-2.04149332,20.304,1.50234604
0.4718478,167.4874531,-2.16999366,20.40429,2.19913101
0.4696381,169.8158319,-2.1240144,20.14668,1.67367554
0.4664204,166.6156421,-1.54963057,19.51478,1.79945564
0.4670425,169.1931531,-1.33781121,19.12349,1.80243301
0.444217,178.7419508,-2.81042912,18.37988,1.69073868
0.4575567,184.5125767,-2.3392357,19.98601,1.57227135
0.488501,189.4534888,-1.93902455,20.25931,1.66732979
0.4929521,142.1242555,-0.25738357,20.6859,1.47190475
0.4264287,143.7349061,-0.40995493,19.37106,1.74566078
0.4900507,145.4842679,0.02955865,20.38986,1.33678627
0.4503309,156.3910728,-2.43614696,20.2044,1.74971008
0.4972111,163.9458389,-2.59386982,19.83349,1.76605988
0.4367822,164.6184918,-2.34132258,19.29441,1.69409943
0.4425189,164.962843,-1.8361454,20.6709,1.50495338
0.4335654,169.7022365,64.92105556,20.04978,1.7710762
0.4989431,141.5855883,56.8019334,21.58345,1.29304695
0.4659428,115.3093222,37.46112234,20.20239,2.02295876
0.4312697,120.4925411,43.44438219,19.62553,1.17266655
0.4873233,134.7607521,54.68848347,20.96932,2.18948364
0.4001704,184.3214046,-0.69430908,18.35835,1.97156715
0.4188244,184.7964174,-0.64888949,19.48011,1.73012733
0.4608543,194.7286903,-0.26107871,20.05993,1.67012024
0.4802508,158.1180205,1.07504119,20.37458,1.83005333
0.4424269,168.6634168,1.21117742,18.99987,1.80279541
0.4921291,168.8706596,1.2127251,19.66357,1.66954613
0.4749472,169.9140013,1.12692753,19.69437,1.4935894
0.42438,182.1615442,1.13675244,18.50841,1.70661545
0.4253216,158.6262399,-2.79387366,19.76702,1.63039017
0.4117342,162.863198,-2.76954635,19.31042,1.81713486
0.428331,168.8934289,-2.9858687,19.39212,1.92323494
0.4821927,162.5738295,-2.49289376,20.3609,1.4452076
0.4746565,162.6764907,-2.39340384,20.10078,1.67663765
0.4316616,167.1044259,-2.54961328,20.42668,1.75382233
0.4366081,178.3609787,-2.58854963,20.71698,0.54434586
0.4357058,185.0934146,-2.67434229,18.83731,1.84638023
0.4828398,161.4223507,-1.98357453,20.57288,2.08623123
0.4752891,165.3297308,-2.07303664,20.19428,1.4614563
0.4349002,166.7579997,-2.13369744,19.10288,1.69361115
0.4698038,174.5342095,-2.07291271,19.78498,1.79494667
0.4965416,163.924719,-1.65451788,20.17752,1.81225204
0.4579943,169.5065483,-1.71309245,20.36698,2.37713814
0.4933155,195.9569656,-1.67537455,19.87679,1.51404572
0.4854835,180.9485782,-1.43720972,20.00162,1.83223534
0.4857677,186.2680054,-2.40362583,20.3876,1.44946671
0.4415208,186.2341799,-2.03813479,19.90141,1.63948059
0.448268,195.2771311,-1.48886042,19.85014,1.88917542
0.4666791,138.3465367,-1.09246035,20.66267,1.32428551
0.4181032,146.3488147,0.90584541,19.2173,1.74544716
0.4597063,146.0430239,-2.20573227,19.21003,1.7327919
0.4957646,140.1056322,-1.7578697,20.51775,1.73604393
0.47375,156.0679568,-2.15555591,19.93167,1.40948105
0.4174751,163.2462598,-2.30329498,20.48834,1.44763374
0.4090557,163.6414309,-2.20161017,18.61824,1.80031776
0.4692757,164.5221877,-2.28684356,20.33044,1.98962402
0.4891933,165.0676932,-1.79257729,20.21482,1.7077961
0.4637549,166.474486,-1.42368831,20.77877,1.65083122
0.402256,130.4496881,49.95527908,19.10862,1.62298012
0.4598539,195.5316958,65.78901332,20.75682,1.3467865
0.4624497,123.841065,45.52469321,20.28291,1.22363663
0.4697339,123.9759851,45.63344961,20.63664,1.33564377
0.4725055,135.1450272,53.71827141,20.28972,1.76952744
0.4499932,135.5808628,54.45497199,20.4284,2.13166046
0.4395051,115.0387009,37.42278867,19.54035,1.74919701
0.4167993,119.1056932,42.28555011,20.87772,1.21438599
0.4464245,136.2492197,55.55593939,20.2901,1.60708237
0.4857054,139.4749166,56.94188488,19.75439,2.0182991
0.4850653,120.3753747,44.15250247,21.14785,2.82200241
0.4369712,120.4145053,44.14183005,20.75607,1.56485558
0.4458095,124.5916265,45.68246798,19.09665,1.83564949
0.4696941,124.8897646,46.17359904,20.76328,1.45140648
0.4527967,195.3938894,-0.8158706,20.03018,1.83302116
0.4098706,198.8750318,-0.81123465,18.89832,1.82481384
0.4236196,204.7502587,-0.79172698,19.46506,1.96120262
0.4661659,211.9934102,-0.71638489,19.80538,1.85732841
0.4326262,213.9833446,-0.74417447,20.36391,1.83855057
0.4669564,216.8656505,-0.63169899,19.76816,1.84543037
0.465768,218.1830989,-0.76488296,19.48079,1.70451736
0.465596,212.0206224,-0.36741133,19.69244,1.51764679
0.4188188,183.4185049,0.61913123,18.99413,1.73402023
0.4504024,164.4834656,1.22063318,19.5211,1.57679749
0.4751607,182.350047,1.2401776,19.47141,1.92823219
0.43975,182.9601814,1.19996852,19.29188,1.91433334
0.4175662,16.08018084,13.60792995,20.15467,1.61091042
