Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
264017.30885173887,0.0027523004992939773,0.0015657950926116614,0.0029989220262228813,8.585407134247008e-05
264021.4130741715,0.0027523387068828496,0.0015657980182751403,0.0029989276582655295,8.588513757590395e-05
264021.4130741716,0.0027523387068828496,0.0015657980182751403,0.0029989276582655295,8.588513757590395e-05
264081.4130741715,0.0027530247207932686,0.0015658019593322,0.0029989351150076712,8.511553751926591e-05
264141.4130741715,0.002753711764968718,0.0015658045030173756,0.00299893992789109,8.511234139151642e-05
264201.4130741715,0.0027543988489404482,0.0015658063174512375,0.0029989433609154573,8.511095565757344e-05
264261.4130741715,0.0027550859582382748,0.0015658074697163706,0.002998945541051432,8.51100862130758e-05
264321.4130741715,0.0027557730634124576,0.0015658084089455382,0.0029989473181134445,8.510998056054036e-05
264381.4130741715,0.002756460211543535,0.0015658090827269438,0.0029989485929116408,8.510971911411773e-05
264441.4130741715,0.0027571473622519604,0.0015658095406313726,0.0029989494592675726,8.510961851700038e-05
264501.4130741715,0.0027578345233442094,0.001565809835094415,0.0029989500163902535,8.510957051322483e-05
264561.4130741715,0.0027585216842727707,0.0015658100300817738,0.0029989503853052003,8.510955164624701e-05
264621.4130741715,0.0027592088549453003,0.0015658101568160028,0.0029989506250841114,8.510954221250664e-05
264681.4130741715,0.002759896046430965,0.0015658102249012347,0.0029989507538986273,8.510953754384586e-05
264741.4130741715,0.0027605832284741355,0.0015658102516016778,0.002998950804415321,8.51095367472012e-05
264801.4130741715,0.0027612704154909005,0.0015658102642424716,0.0029989508283312163,8.510953655070948e-05
264861.4130741715,0.0027619576059628266,0.0015658102672446795,0.0029989508340112973,8.510953653104626e-05
264921.4130741715,0.0027626447962801975,0.0015658102678112375,0.0029989508350832038,8.510953653024702e-05
264981.4130741715,0.002763331977516866,0.001565810267863849,0.0029989508351827383,8.510953652990374e-05
265041.4130741715,0.002764019153970012,0.0015658102678702997,0.0029989508351949434,8.510953652990353e-05
265044.2270514439,0.002764051382236254,0.0015658102678703899,0.0029989508351951156,8.510953652990377e-05
265044.22705144394,0.002764051382236254,0.0015658102678703899,0.0029989508351951156,8.510953652990377e-05
