Throughput capacity [A.h],Loss of lithium inventory [%],Loss of active material in negative electrode [%],Loss of active material in positive electrode [%]
10.273271141615922,0.21734383220008624,0.00016555898827164128,0.0002744498115418992
10.356604474949199,0.18696912000638122,0.00018057044718489124,0.0002744498115418992
10.439937808282536,0.16419890368786128,0.00019705798418101494,0.0002744498115418992
10.523271141615758,0.14714304476585482,0.00021413946248571847,0.0002744498115418992
10.606604474949076,0.13427948872850948,0.00023164182147183965,0.0002744498115418992
10.689937808282261,0.1245236196375572,0.00024949739251667324,0.0002744498115418992
10.773271141615433,0.11711692504390214,0.00026767909743341534,0.0002744498115418992
10.856604474948815,0.11152215321203585,0.00028617652149875994,0.0002744498115418992
10.939937808282156,0.10719162478272892,0.00030502673260457414,0.0002744498115418992
11.023271141615485,0.10382248877625955,0.0003241804969036366,0.0002744498115418992
11.106604474948723,0.10122575699759295,0.00034363537287163126,0.0002744498115418992
11.189937808281917,0.09925832119716915,0.00036337898939109436,0.0002744498115418992
11.273271141615167,0.09770636563631285,0.0003834098001647135,0.0002744498115418992
11.356604474948428,0.09647886787729476,0.0004037176259430453,0.0002744498115418992
11.439937808281654,0.09549342551629536,0.0004242610054348006,0.0002744498115418992
11.523271141614867,0.09466032346756492,0.00044500386792378777,0.0002744498115418992
11.606604474948076,0.09391242262329058,0.0004659657957120089,0.0002744498115418992
11.689937808281362,0.09317224346460762,0.0004869769408344382,0.0002744498115418992
11.773271141614421,0.09234738841817602,0.0005080216478603461,0.0002744498115418992
11.856604474947599,0.09143370730470224,0.000529156421904986,0.0002744498115418992
11.939937808280872,0.09038209828493393,0.0005505517258228565,0.0002744498115418992
12.023271141614147,0.08927197756496241,0.000572350608109673,0.0002744498115418992
12.106604474947465,0.08821955225141664,0.0005947348688692955,0.0002744498115418992
12.189937808280785,0.08737729407340566,0.0006176521333998153,0.0002744498115418992
